label,message
spam,win a free prize now
spam,claim your free reward today
spam,urgent you have won cash
spam,free entry in prize draw
spam,click now to claim reward
spam,you are selected for a bonus
spam,congratulations you won a gift
spam,limited offer claim your prize
spam,urgent response needed to win
spam,get free cash now
spam,exclusive reward waiting for you
spam,claim bonus offer today
ham,are you coming to class today
ham,call me when you reach home
ham,lets have lunch after work
ham,please send the notes tonight
ham,meeting starts at ten tomorrow
ham,i will call you later
ham,can you help me with homework
ham,we are going to the market
ham,see you in class tomorrow
ham,dinner is ready come home
ham,please bring your book today
ham,let us talk after the meeting
